,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,amenities,price,minimum_nights,number_of_reviews,review_score,room_type,bathroom,geometry,index_right,neighbourhood,"Rate per 100,000 population",area,nearby_attractions_count,nearby_restaurants_count,nearby_amenities_count,nearby_transportaion_count,buildings_density,restaurant_types_score,transportaion_avalibility_score,price_bins
499,1,1,-37.8921,145.08128,2,1.0,1.0,,145.0,1,7,4.957458655805215,0,2,POINT (145.08128 -37.8921),6,monash,5139.3,0.008346862150499994,35,76,0,0,1652,0.9,0.0,2
811,1,1,-37.86684,145.16236,4,1.0,2.0,,88.0,1,55,4.76413335853943,2,3,POINT (145.16236 -37.86684),6,monash,5139.3,0.008346862150499994,30,11,0,2,69,0.6,0.16666666666666666,1
819,1,1,-37.89553,145.11625,5,3.0,3.0,,255.0,3,66,4.891136106829946,0,5,POINT (145.11625 -37.89553),6,monash,5139.3,0.008346862150499994,62,5,1,0,525,0.4,0.0,5
975,1,0,-37.90522,145.12705,1,1.0,1.0,,90.0,1,5,4.1512418293977404,2,35,POINT (145.12705 -37.90522),6,monash,5139.3,0.008346862150499994,60,36,3,0,383,0.6,0.0,1
1004,1,1,-37.87516,145.1629,2,1.0,1.0,,44.0,2,19,4.760781454012569,2,4,POINT (145.1629 -37.87516),6,monash,5139.3,0.008346862150499994,51,76,5,5,220,0.8,0.16666666666666666,0
1139,1,1,-37.86822,145.16236,2,1.0,1.0,,75.0,2,57,4.99248901521433,2,5,POINT (145.16236 -37.86822),6,monash,5139.3,0.008346862150499994,33,16,1,0,73,0.6,0.0,1
1151,1,1,-37.90218,145.14437,2,1.0,2.0,,83.0,5,12,4.98347811611983,2,6,POINT (145.14437 -37.90218),6,monash,5139.3,0.008346862150499994,59,20,8,6,349,0.4,0.16666666666666666,1
1179,1,1,-37.89898,145.0942,2,1.0,1.0,,70.0,2,18,4.406056518176011,2,4,POINT (145.0942 -37.89898),6,monash,5139.3,0.008346862150499994,62,74,3,2,531,0.8,0.16666666666666666,1
1232,1,1,-37.8834,145.15966,4,2.0,2.0,,129.0,3,190,4.7237879209886575,0,5,POINT (145.15966 -37.8834),6,monash,5139.3,0.008346862150499994,50,74,1,0,294,0.7,0.0,2
1246,1,0,-37.90431,145.18687,2,1.0,1.0,,80.0,2,21,4.575414484834775,2,9,POINT (145.18687 -37.90431),6,monash,5139.3,0.008346862150499994,23,10,1,1,67,0.6,0.16666666666666666,1
1314,1,0,-37.93156,145.20545,6,3.0,3.0,,330.0,2,0,0.0,0,8,POINT (145.20545 -37.93156),6,monash,5139.3,0.008346862150499994,12,0,1,0,51,0.0,0.0,6
1331,1,1,-37.88006,145.16387,2,1.0,1.0,,59.0,1,35,4.749893685491334,2,4,POINT (145.16387 -37.88006),6,monash,5139.3,0.008346862150499994,50,79,31,15,269,0.8,0.6666666666666666,1
1334,1,1,-37.87640645854378,145.09477183213443,10,4.0,6.0,,297.0,2,10,4.869721106855472,0,12,POINT (145.0947718321344 -37.87640645854378),6,monash,5139.3,0.008346862150499994,39,19,1,0,670,0.6,0.0,5
1383,1,1,-37.90006,145.16876,6,4.0,4.0,,200.0,1,21,4.5043165569954455,0,10,POINT (145.16876 -37.90006),6,monash,5139.3,0.008346862150499994,50,13,0,0,78,0.6,0.0,3
1448,1,0,-37.92093,145.18249,2,1.0,1.0,,150.0,4,1,4.999999999999999,0,2,POINT (145.18249 -37.92093),6,monash,5139.3,0.008346862150499994,41,3,0,2,1180,0.2,0.16666666666666666,2
1465,1,1,-37.91053,145.12825,2,1.0,1.0,,48.0,7,34,4.865434889875354,2,4,POINT (145.12825 -37.91053),6,monash,5139.3,0.008346862150499994,60,43,1,0,474,0.5,0.0,0
1498,1,1,-37.90687,145.07475,2,2.0,1.0,,80.0,1,56,4.917690528586237,2,6,POINT (145.07475 -37.90687),6,monash,5139.3,0.008346862150499994,40,3,1,2,355,0.3,0.16666666666666666,1
1555,1,0,-37.86384,145.16246,2,1.0,1.0,,60.0,1,1,4.999999999999999,2,3,POINT (145.16246 -37.86384),6,monash,5139.3,0.008346862150499994,21,4,0,5,107,0.3,0.16666666666666666,1
1606,1,1,-37.87523,145.16216,2,1.0,1.0,,60.0,2,44,4.652184503703157,2,4,POINT (145.16216 -37.87523),6,monash,5139.3,0.008346862150499994,51,76,2,4,226,0.8,0.16666666666666666,1
1607,1,1,-37.90832,145.14873,6,3.0,3.0,,150.0,3,79,4.775036896259969,0,10,POINT (145.14873 -37.90832),6,monash,5139.3,0.008346862150499994,60,15,1,0,301,0.4,0.0,2
1739,1,0,-37.903,145.1278,1,1.0,1.0,,75.0,1,5,4.023214664530326,2,35,POINT (145.1278 -37.903),6,monash,5139.3,0.008346862150499994,58,21,1,0,393,0.6,0.0,1
2046,1,1,-37.89905,145.15673,2,3.0,1.0,,52.0,1,121,4.73518046287338,2,4,POINT (145.15673 -37.89905),6,monash,5139.3,0.008346862150499994,52,12,2,0,175,0.6,0.0,1
2107,1,1,-37.88098,145.109,6,2.0,2.0,,250.0,4,32,4.723839183539292,0,8,POINT (145.109 -37.88098),6,monash,5139.3,0.008346862150499994,60,5,9,0,588,0.4,0.0,4
2127,0,1,-37.88305,145.09814,2,1.0,1.0,,250.0,3,2,4.713175550521444,2,4,POINT (145.09814 -37.88305),6,monash,5139.3,0.008346862150499994,60,10,0,0,559,0.5,0.0,4
2144,1,0,-37.88158,145.10384,1,1.0,1.0,,50.0,1,42,4.538181332908367,2,5,POINT (145.10384 -37.88158),6,monash,5139.3,0.008346862150499994,59,6,1,0,409,0.5,0.0,0
2169,1,0,-37.9064,145.11186,1,1.0,1.0,,165.0,7,0,0.0,2,4,POINT (145.11186 -37.9064),6,monash,5139.3,0.008346862150499994,62,30,2,3,161,0.7,0.16666666666666666,3
